steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
75000	30	5161.596244335175	3568.1065715670898	2883.622178652091	1845.9735105036461	5658.5561465620995	2162.1413894870784	8.733509	32.331619548797605	75000	6251	75000
152489	61	10570.882864952087	1452.2398142065406	1047.5247272831039	1706.9247051461155	3325.150027550466	-15.955312213947764	8.750571	29.196793003082277	152489	25623	152489
226225	91	15519.542186498642	1783.8726550134986	1732.4307994736591	2562.85120922452	4372.057557602879	-752.8703920360422	8.901742	25.00055507659912	226225	44057	226225
300355	121	20371.607199192047	1593.2843954308967	1642.5838467756403	521.7621233663732	2088.647060430725	1048.6222790863249	8.997393	24.166363821029663	300355	62589	300355
375182	151	25436.1822514534	2970.5962649902017	3980.816697889415	2285.3231229128105	4576.716207437217	354.2558896439732	8.835767	23.46208827018738	375182	81296	375182
450182	181	30455.366134166718	2591.6824961897923	3574.5849545099773	1896.4229039294135	3794.8837088652435	405.5788251941558	9.098954	22.630680084228516	450182	100046	450182
525182	211	36000.99382972717	2018.5847964313155	1679.367625495277	771.9707197208138	2902.0824316212675	1474.304332177402	8.773233	22.387689452171326	525182	118796	525182
600182	241	41568.19812107086	1616.4477161384614	966.2726800587843	1207.2392891002291	3009.421472497401	873.6489958591992	8.950214	21.83972063064575	600182	137546	600182
676547	272	47467.62225699425	1454.7543737913318	1292.0572822217218	925.3488727251046	2450.6617085830076	621.5441305692657	8.906129	23.04955041885376	676547	156637	676547
751564	303	53323.422359228134	1797.3684012432204	1827.540817501751	301.9473937097058	2083.0968329520547	1481.4675532758556	9.08847	22.828416986465456	751564	175392	751564
826955	336	59336.677856206894	2890.99775162737	3037.303121617937	1277.7795252395586	4089.3271031372715	1546.3630301269004	8.987127	21.465996026992798	826955	194239	826955
900264	367	65095.4764881134	1959.5503180246549	1908.5907568262191	1177.889956283477	3162.0930075014476	807.9671897462977	8.854103	20.80083945274353	900264	212567	900264
976570	398	70777.50484323502	2265.4697889883923	2210.085836251499	975.5542000000146	3267.536159761832	1318.7873709518462	8.92514	21.639360342025757	976570	231643	976570
